Date,Close
3/3/2015 16:00:00,22.02
3/4/2015 16:00:00,22.08
3/5/2015 16:00:00,21.93
3/6/2015 16:00:00,21.62
3/9/2015 16:00:00,20.91
3/10/2015 16:00:00,20.03
3/11/2015 16:00:00,19.59
3/12/2015 16:00:00,19.72
3/13/2015 16:00:00,19.41
3/16/2015 16:00:00,19.66
3/17/2015 16:00:00,21.74
3/18/2015 16:00:00,22.52
3/19/2015 16:00:00,22.85
3/20/2015 16:00:00,22.62
3/23/2015 16:00:00,22.41
3/24/2015 16:00:00,22.08
3/25/2015 16:00:00,21.69
3/26/2015 16:00:00,21.39
3/27/2015 16:00:00,21.3
3/30/2015 16:00:00,21.27
3/31/2015 16:00:00,21.03
4/1/2015 16:00:00,20.88
4/2/2015 16:00:00,21.34
4/6/2015 16:00:00,21.34
4/7/2015 16:00:00,21.11
4/8/2015 16:00:00,21.59
4/9/2015 16:00:00,22.61
4/10/2015 16:00:00,22.55
4/13/2015 16:00:00,22
4/14/2015 16:00:00,21.76
4/15/2015 16:00:00,22.14
4/16/2015 16:00:00,21.95
4/17/2015 16:00:00,21.43
4/20/2015 16:00:00,21.83
4/21/2015 16:00:00,21.71
4/22/2015 16:00:00,22.03
4/23/2015 16:00:00,22.08
4/24/2015 16:00:00,22
4/27/2015 16:00:00,21.92
4/28/2015 16:00:00,22.36
4/29/2015 16:00:00,21.11
4/30/2015 16:00:00,21.15
5/1/2015 16:00:00,21.4
5/4/2015 16:00:00,21.27
5/5/2015 16:00:00,20.14
5/6/2015 16:00:00,19.58
5/7/2015 16:00:00,19.75
5/8/2015 16:00:00,19.93
5/11/2015 16:00:00,19.35
5/12/2015 16:00:00,19.12
5/13/2015 16:00:00,19.36
5/14/2015 16:00:00,19.32
5/15/2015 16:00:00,19.47
5/18/2015 16:00:00,19.68
5/19/2015 16:00:00,19.71
5/20/2015 16:00:00,20.07
5/21/2015 16:00:00,20.2
5/22/2015 16:00:00,20.51
5/26/2015 16:00:00,19.87
5/27/2015 16:00:00,19.91
5/28/2015 16:00:00,20.19
