Date,Close
7/6/2015 16:00:00,36.71
7/7/2015 16:00:00,36.62
7/8/2015 16:00:00,34.7
7/9/2015 16:00:00,34.5
7/10/2015 16:00:00,34.69
7/13/2015 16:00:00,36.78
7/14/2015 16:00:00,36.93
7/15/2015 16:00:00,37.51
7/16/2015 16:00:00,38.63
7/17/2015 16:00:00,38.39
7/20/2015 16:00:00,40.47
7/21/2015 16:00:00,39.35
7/22/2015 16:00:00,38.39
7/23/2015 16:00:00,37.01
7/24/2015 16:00:00,37
7/27/2015 16:00:00,36.39
7/28/2015 16:00:00,37.6
7/29/2015 16:00:00,37.95
7/30/2015 16:00:00,38.45
7/31/2015 16:00:00,38.7
8/3/2015 16:00:00,39.39
8/4/2015 16:00:00,38.95
8/5/2015 16:00:00,39.27
8/6/2015 16:00:00,38.85
8/7/2015 16:00:00,39.13
8/10/2015 16:00:00,39.05
8/11/2015 16:00:00,38.85
8/12/2015 16:00:00,38.19
8/13/2015 16:00:00,37.62
8/14/2015 16:00:00,38.14
8/17/2015 16:00:00,38.73
8/18/2015 16:00:00,37.99
8/19/2015 16:00:00,37.19
8/20/2015 16:00:00,35.98
8/21/2015 16:00:00,34.25
8/24/2015 16:00:00,33.75
8/25/2015 16:00:00,32.7
8/26/2015 16:00:00,33.17
8/27/2015 16:00:00,34.62
8/28/2015 16:00:00,35.04
8/31/2015 16:00:00,35
9/1/2015 16:00:00,33.77
9/2/2015 16:00:00,35.07
9/3/2015 16:00:00,35.31
9/4/2015 16:00:00,34.29
9/8/2015 16:00:00,34.7
9/9/2015 16:00:00,34.37
9/10/2015 16:00:00,33.46
9/11/2015 16:00:00,33.55
9/14/2015 16:00:00,33.77
9/15/2015 16:00:00,33.8
9/16/2015 16:00:00,33.77
9/17/2015 16:00:00,33.32
9/18/2015 16:00:00,32.92
9/21/2015 16:00:00,34.25
9/22/2015 16:00:00,33.35
9/23/2015 16:00:00,34.16
9/24/2015 16:00:00,33.91
9/25/2015 16:00:00,33.77
9/28/2015 16:00:00,32.25
9/29/2015 16:00:00,30.63
9/30/2015 16:00:00,31.04
10/1/2015 16:00:00,31.48
10/2/2015 16:00:00,32.83
10/5/2015 16:00:00,32.67
10/6/2015 16:00:00,31.86
10/7/2015 16:00:00,32.38
10/8/2015 16:00:00,31.67
10/9/2015 16:00:00,32.06
10/12/2015 16:00:00,32.63
10/13/2015 16:00:00,33.22
10/14/2015 16:00:00,34.05
10/15/2015 16:00:00,34.62
10/16/2015 16:00:00,34.29
10/19/2015 16:00:00,34.84
10/20/2015 16:00:00,34.87
10/21/2015 16:00:00,33.83
10/22/2015 16:00:00,34.79
10/23/2015 16:00:00,34.99
10/26/2015 16:00:00,36.44
10/27/2015 16:00:00,35.94
10/28/2015 16:00:00,36.52
10/29/2015 16:00:00,35.91
10/30/2015 16:00:00,36.01
11/2/2015 16:00:00,36.99
11/3/2015 16:00:00,37.9
11/4/2015 16:00:00,37.6
11/5/2015 16:00:00,36.71
11/6/2015 16:00:00,36.24
11/9/2015 16:00:00,36.6
11/10/2015 16:00:00,37
11/11/2015 16:00:00,36.33
11/12/2015 16:00:00,35.57
11/13/2015 16:00:00,34.53
11/16/2015 16:00:00,35.61
11/17/2015 16:00:00,36.21
11/18/2015 16:00:00,36.22
11/19/2015 16:00:00,36.19
11/20/2015 16:00:00,36.36
11/23/2015 16:00:00,35.56
11/24/2015 16:00:00,35.12
11/25/2015 16:00:00,35.36
11/27/2015 16:00:00,35.18
11/30/2015 16:00:00,35.26
12/1/2015 16:00:00,35.17
12/2/2015 16:00:00,35.15
12/3/2015 16:00:00,34.23
12/4/2015 16:00:00,35.62
12/7/2015 16:00:00,35.16
12/8/2015 16:00:00,35.6
12/9/2015 16:00:00,35.07
12/10/2015 16:00:00,35.49
12/11/2015 16:00:00,34.69
12/14/2015 16:00:00,35.01
12/15/2015 16:00:00,36.32
12/16/2015 16:00:00,35.98
12/17/2015 16:00:00,35.54
12/18/2015 16:00:00,34.98
12/21/2015 16:00:00,36.08
12/22/2015 16:00:00,36.81
12/23/2015 16:00:00,37.11
12/24/2015 16:00:00,37.07
12/28/2015 16:00:00,36.61
12/29/2015 16:00:00,37.08
12/30/2015 16:00:00,36.48
12/31/2015 16:00:00,36.2
1/4/2016 16:00:00,34.75
1/5/2016 16:00:00,34.31
1/6/2016 16:00:00,33.98
1/7/2016 16:00:00,33.13
1/8/2016 16:00:00,32.69
1/11/2016 16:00:00,33.04
1/12/2016 16:00:00,33.08
1/13/2016 16:00:00,32.12
1/14/2016 16:00:00,32.87
1/15/2016 16:00:00,32.31
1/19/2016 16:00:00,32.2
1/20/2016 16:00:00,31.2
1/21/2016 16:00:00,31.2
1/22/2016 16:00:00,31.69
1/25/2016 16:00:00,31.47
1/26/2016 16:00:00,31.97
1/27/2016 16:00:00,31.59
1/28/2016 16:00:00,34.24
1/29/2016 16:00:00,36.14
2/1/2016 16:00:00,37.08
2/2/2016 16:00:00,36.83
2/3/2016 16:00:00,37.01
2/4/2016 16:00:00,37.17
2/5/2016 16:00:00,35.07
2/8/2016 16:00:00,33.61
2/9/2016 16:00:00,32.7
2/10/2016 16:00:00,32.9
2/11/2016 16:00:00,33.52
2/12/2016 16:00:00,34.3
2/16/2016 16:00:00,35.46
2/17/2016 16:00:00,36.36
2/18/2016 16:00:00,36.31
